#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	m1_30neg_S192_R1_001.fastq.gz	m2_30pos_S193_R1_001.fastq.gz	m3_38neg_S194_R1_001.fastq.gz	m4_38pos_S195_R1_001.fastq.gz	m5_43neg_S196_R1_001.fastq.gz	m6_43pos_S197_R1_001.fastq.gz	m7_98neg_S198_R1_001.fastq.gz	m8_98pos_S199_R1_001.fastq.gz
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	0.01093	0.0	0.0051	0.0	0.0	0.0	0.01551	0.0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	0.00799	0.0	0.04382	0.0	0.0	0.0	0.014	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	0.00767	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226|f__FGB1226	0.00419	0.0	0.01491	0.0	0.0	0.0	0.04295	0.0
k__Bacteria|p__Firmicutes|c__CFGB1470|o__OFGB1470|f__FGB1470	0.00367	0.0471	0.0093	0.0334	0.0	0.04836	0.01356	0.04647
k__Bacteria|p__Firmicutes|c__CFGB2985|o__OFGB2985|f__FGB2985	0.00312	0.0	0.00204	0.0	0.0	0.0	0.022	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter	28.02635	0.13538	15.32818	0.2434	30.66719	0.10199	23.58093	0.12024
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium	7.95064	9.33536	6.08792	12.66518	6.40892	10.42659	6.43758	11.51701
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus	6.6435	1.25072	5.48101	1.85557	9.56324	1.59386	6.96959	1.25316
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia	6.15017	5.67779	6.15988	5.45071	0.76595	7.12077	9.82153	5.65563
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	3.84373	2.0919	5.53702	2.15785	5.20807	2.67057	3.56917	2.23369
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Marseilla	3.82829	0.4286	1.25301	1.33335	4.40342	1.39984	2.24053	0.59271
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Agathobaculum	3.69855	1.56788	2.74787	2.11153	6.11514	1.34555	2.05072	1.48973
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter	3.47747	1.56683	4.87155	2.65068	8.73435	2.1365	4.02555	1.6921
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified	2.75606	0.32416	2.12842	0.5427	1.27889	0.55139	3.11027	0.26563
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642|g__GGB9758	2.55124	1.42617	7.34028	0.81033	4.26698	0.66318	5.63557	1.08367
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio	2.37769	1.38408	3.50207	2.10046	1.8433	1.7351	1.88285	0.88477
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9602	2.25338	0.5251	1.9951	1.03257	4.53935	0.83336	1.98174	0.59286
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea	2.14588	2.44527	4.61648	3.43869	4.20873	2.4963	3.03222	3.15943
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB79634	2.11144	0.0	0.83601	0.01736	1.25926	0.03184	1.42002	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus	1.58656	0.32413	2.21337	0.36531	0.36976	0.21404	2.16609	0.20911
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	1.51641	3.66076	1.35968	7.09298	0.35688	8.59325	2.16076	4.93845
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9642	1.50725	0.81848	0.82959	1.51723	2.18017	1.17236	0.38973	0.74338
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium	1.21834	0.80203	2.21623	1.4262	0.38541	0.58814	0.578	0.83012
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae|g__GGB15850	1.00339	0.39042	1.57147	0.98534	0.29674	1.15398	0.99962	0.30274
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4599	0.96064	0.29417	1.02856	0.20768	0.0	0.20725	1.37387	0.20977
