#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	m1_30neg_S192_R1_001.fastq.gz.tsv.gtdb	m2_30pos_S193_R1_001.fastq.gz.tsv.gtdb	m3_38neg_S194_R1_001.fastq.gz.tsv.gtdb	m4_38pos_S195_R1_001.fastq.gz.tsv.gtdb	m5_43neg_S196_R1_001.fastq.gz.tsv.gtdb	m6_43pos_S197_R1_001.fastq.gz.tsv.gtdb	m7_98neg_S198_R1_001.fastq.gz.tsv.gtdb	m8_98pos_S199_R1_001.fastq.gz.tsv.gtdb
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615	2.74265	0.27728	1.98555	0.39301	1.27889	0.5414	3.09294	0.19265
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	2.72551	0.14843	2.69168	0.1224	0.7019	0.1564	4.45173	0.07262
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__UBA11524	2.55124	1.42617	7.34028	0.81033	4.26698	0.66318	5.63557	1.08367
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A	2.37769	1.38408	3.50207	2.10046	1.8433	1.7351	1.88285	0.88477
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia	2.2649700000000004	2.30668	2.03693	2.25025	4.53935	2.50754	2.02029	2.42361
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	2.13813	1.66467	3.83586	1.34398	2.73813	1.98505	1.83637	1.69235
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A	6.10666	6.517099999999999	4.79447	6.480330000000001	1.32332	8.356950000000001	7.439930000000001	6.46507
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter	3.47746	1.5372899999999998	4.85851	2.63671	8.73435	2.1009100000000003	4.02555	1.6618499999999998
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417	1.7056	0.42723	1.70116	0.81387	2.46994	0.68552	1.7328	0.54134
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia	1.50725	0.81848	0.82959	1.51723	2.18017	1.17236	0.38973	0.74338
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A	1.52083	2.23816	3.1854400000000003	3.22746	3.98175	2.23312	2.10131	2.84927
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E	1.0438	0.32413	1.80104	0.36531	0.36976	0.21404	1.50868	0.20911
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__CAG-266	1.00339	0.39042	1.57147	0.98534	0.29674	1.15398	0.99962	0.30274
